Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-28 10-PM,ETHUSD,867.64,867.64,858,858.01,2707.53,2331400.93
2018-02-28 09-PM,ETHUSD,869.62,873,866.05,867.64,1836.95,1598750.3
2018-02-28 08-PM,ETHUSD,867.68,872.9,867.61,869.62,3408.53,2967534.77
2018-02-28 07-PM,ETHUSD,865.86,867.9,865.3,867.68,1096.44,950462.68
2018-02-28 06-PM,ETHUSD,867.88,868.2,863.85,865.86,2879.62,2493946.65
2018-02-28 05-PM,ETHUSD,862.27,869.44,862.27,867.88,1732.61,1499677.32
2018-02-28 04-PM,ETHUSD,866.25,867,862.16,862.27,1934.51,1674271.18
2018-02-28 03-PM,ETHUSD,868.51,871.89,866.08,866.25,1787.58,1553705.95
2018-02-28 02-PM,ETHUSD,863.44,869.88,863,868.51,1252.4,1085172.47
2018-02-28 01-PM,ETHUSD,858.54,866.51,857.33,863.44,1714.67,1479229.36
2018-02-28 12-PM,ETHUSD,866.37,866.74,856.32,858.54,2487.63,2140462.25
2018-02-28 11-AM,ETHUSD,864.27,870,862.15,866.37,1448.52,1252993.15
2018-02-28 10-AM,ETHUSD,866.63,869.01,862.01,864.27,1512.4,1307904.27
2018-02-28 09-AM,ETHUSD,863.01,869,860.5,866.63,3462.22,2990071.23
2018-02-28 08-AM,ETHUSD,873.66,875.68,863,863.01,2540.18,2209140.33
2018-02-28 07-AM,ETHUSD,874.96,875.64,870.03,873.66,1878.66,1638414.15
2018-02-28 06-AM,ETHUSD,883.23,887.5,874.95,874.96,3387.61,2985465.95
2018-02-28 05-AM,ETHUSD,882.37,886.89,882,883.23,2039.78,1803901.58
2018-02-28 04-AM,ETHUSD,884.35,885,880,882.37,3018.84,2666468.09
2018-02-28 03-AM,ETHUSD,880,885,879.12,884.35,4134.2,3651657.63
2018-02-28 02-AM,ETHUSD,879.49,882,878.04,880,3504.29,3086674.71
2018-02-28 01-AM,ETHUSD,876.55,883.1,875.54,879.49,2244.41,1975418.82
2018-02-28 12-AM,ETHUSD,870.98,876.89,870.5,876.55,1451.69,1268113.2
2018-02-27 11-PM,ETHUSD,876.7,878.67,870.04,870.98,1548.84,1355641.79
2018-02-27 10-PM,ETHUSD,879,880,875.33,876.7,1965.96,1726586.13
2018-02-27 09-PM,ETHUSD,877.21,880,875.43,879,2896.74,2543949.53
2018-02-27 08-PM,ETHUSD,876.29,878.81,876,877.21,2246.33,1971377.35
2018-02-27 07-PM,ETHUSD,872.27,879.57,872.27,876.29,2548.81,2234261.92
2018-02-27 06-PM,ETHUSD,867.33,872.96,867.33,872.27,2223.11,1934517.88
2018-02-27 05-PM,ETHUSD,872.56,873.21,867.33,867.33,1579.14,1375462.84
2018-02-27 04-PM,ETHUSD,870,874,866.43,872.56,3554.04,3091779.23
2018-02-27 03-PM,ETHUSD,879.77,879.77,864.95,870,6277.93,5463522.13
2018-02-27 02-PM,ETHUSD,887.5,887.5,876.49,879.77,2305.91,2029774.89
2018-02-27 01-PM,ETHUSD,882,888.95,876.1,887.5,3956.49,3489983.52
2018-02-27 12-PM,ETHUSD,882.98,885.99,880.77,882,1281.3,1131494.24
2018-02-27 11-AM,ETHUSD,878.24,883.99,876.34,882.98,1489.2,1311473.87
2018-02-27 10-AM,ETHUSD,890.52,890.8,876.5,878.24,1823.4,1608738.53
2018-02-27 09-AM,ETHUSD,891.26,893.9,886.34,890.52,1998.67,1778607.05
2018-02-27 08-AM,ETHUSD,888.56,894,886.15,891.26,3161.78,2816690.08
2018-02-27 07-AM,ETHUSD,875.24,890,874.58,888.56,5596.28,4941080.42
2018-02-27 06-AM,ETHUSD,874.88,877,874.03,875.24,1647.38,1442582.87
2018-02-27 05-AM,ETHUSD,871,875,868.36,874.88,2871.83,2507502.04
2018-02-27 04-AM,ETHUSD,867.95,871.9,867.95,871,2344.17,2039594.63
2018-02-27 03-AM,ETHUSD,863,869.49,861,867.95,1833.63,1588413.86
